score_team,win_point_player,roundscore_AB,roundscore_CD,ball_types,win_reason,lose_reason
AB,LEE CHIA HSIN,1,0,driven flight,opponent hits the net,hits the net
CD,LAI SHEVON JEMIE,1,1,defensive return drive,opponent hits the net,hits the net
AB,LAI SHEVON JEMIE,2,1,net shot,wins by landing,opponent wins by landing
CD,LAI SHEVON JEMIE,2,2,net shot,opponent fails to clear the net,fails to clear the net
CD,LAI SHEVON JEMIE,2,3,drive,opponent hits the net,hits the net
AB,YE HONG WEI,3,3,smash,opponent hits the net,hits the net
AB,LAI SHEVON JEMIE,4,3,return net,wins by landing,opponent wins by landing
CD,YE HONG WEI,4,4,driven flight,wins by landing,opponent wins by landing
CD,LAI SHEVON JEMIE,4,5,return net,opponent goes out of bounds,goes out of bounds
AB,LAI SHEVON JEMIE,5,5,cross-court net shot,wins by landing,opponent wins by landing
CD,YE HONG WEI,5,6,smash,wins by landing,opponent wins by landing
CD,LEE CHIA HSIN,5,7,unknown,wins by landing,opponent wins by landing
CD,LAI SHEVON JEMIE,5,8,return net,opponent hits the net,hits the net
CD,YE HONG WEI,6,9,return net,wins by landing,opponent wins by landing
CD,GOH SOON HUAT,6,10,return net,opponent hits the net,hits the net
AB,YE HONG WEI,7,10,short service,opponent goes out of bounds,goes out of bounds
CD,GOH SOON HUAT,7,11,long service,unknown,unknown
AB,LEE CHIA HSIN,8,11,return net,opponent fails to clear the net,fails to clear the net
AB,YE HONG WEI,9,11,return net,opponent fails to clear the net,fails to clear the net
AB,GOH SOON HUAT,10,11,drive,wins by landing,opponent wins by landing
CD,YE HONG WEI,10,12,unknown,wins by landing,opponent wins by landing
CD,GOH SOON HUAT,10,13,return net,opponent hits the net,hits the net
AB,GOH SOON HUAT,11,13,drop,wins by landing,opponent wins by landing
CD,YE HONG WEI,11,14,smash,wins by landing,opponent wins by landing
CD,YE HONG WEI,11,15,smash,wins by landing,opponent wins by landing
AB,LAI SHEVON JEMIE,12,15,driven flight,wins by landing,opponent wins by landing
AB,GOH SOON HUAT,13,15,drive,wins by landing,opponent wins by landing
AB,YE HONG WEI,14,15,return net,opponent fails to clear the net,fails to clear the net
AB,YE HONG WEI,15,15,drive,opponent hits the net,hits the net
AB,LEE CHIA HSIN,16,15,return net,opponent hits the net,hits the net
AB,LEE CHIA HSIN,17,15,smash,opponent hits the net,hits the net
AB,LEE CHIA HSIN,18,15,drive,opponent goes out of bounds,goes out of bounds
AB,LEE CHIA HSIN,19,15,return net,opponent hits the net,hits the net
AB,GOH SOON HUAT,20,15,smash,wins by landing,opponent wins by landing
AB,GOH SOON HUAT,21,15,smash,wins by landing,opponent wins by landing
