rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:26:44,48143,48189,1,0,B,1,發長球,1,2,0,0,0,956,623,657,350,620,383,785,513,562,535,,,,,0,1
1,2,00:26:46,48189,48189,1,0,,3,死球,0,0,956,623,2,955,616,754,353,630,369,882,583,613,535,對手落地致勝,C,落地致勝,AB,0,1
2,1,00:27:00,48607,48634,2,0,B,1,發長球,1,2,0,0,1,484,569,635,358,654,387,638,552,522,520,,,,,0,1
2,2,00:27:01,48634,48645,2,0,D,2,殺球,0,1,484,569,2,736,366,620,359,694,371,646,555,513,544,,,,,0,1
2,3,00:27:01,48645,48685,2,0,B,2,防守回挑,1,2,736,366,1,481,633,602,353,718,356,647,545,451,586,,,,,0,1
2,4,00:27:02,48685,48724,2,0,D,2,長球,0,1,481,633,2,837,327,546,355,725,361,638,548,415,638,,,,,0,1
2,5,00:27:04,48724,48752,2,0,A,2,過度切球,1,2,837,327,2,890,490,740,333,648,377,765,536,514,546,,,,,0,1
2,6,00:27:05,48752,48790,2,0,C,2,挑球,1,2,890,490,0,372,322,797,334,648,376,879,538,565,528,,,,,0,1
2,7,00:27:06,48790,48790,2,0,,3,死球,0,0,372,322,2,374,319,465,335,639,380,697,565,493,519,出界,C,對手出界,AB,0,1
3,1,00:27:22,49282,49282,3,0,B,1,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,1,1
3,2,00:27:22,49282,49295,3,0,C,2,小平球,0,2,0,0,2,787,393,663,349,647,387,768,505,568,534,,,,,0,1
3,3,00:27:23,49295,49326,3,0,B,2,挑球,1,2,787,393,1,430,592,667,349,683,395,774,490,557,535,,,,,0,1
3,4,00:27:24,49326,49337,3,0,D,2,殺球,0,1,430,592,2,443,346,564,352,747,356,696,543,483,590,,,,,0,1
3,5,00:27:24,49337,49354,3,0,A,2,防守回抽,1,2,443,346,1,419,532,517,347,735,348,622,543,439,602,,,,,0,1
3,6,00:27:25,49354,49363,3,0,C,2,撲球,0,1,419,532,2,451,348,490,347,731,349,485,541,382,604,,,,,0,1
3,7,00:27:25,49363,49391,3,0,A,2,防守回挑,1,2,451,348,1,693,585,490,342,718,349,449,541,406,604,,,,,0,1
3,8,00:27:26,49391,49401,3,0,D,2,殺球,0,1,693,585,2,617,362,551,350,724,348,539,533,627,593,,,,,0,1
3,9,00:27:26,49401,49418,3,0,A,2,防守回抽,1,2,617,362,1,791,516,595,354,737,345,546,545,691,594,,,,,0,1
3,10,00:27:27,49418,49434,3,0,D,2,擋小球,0,1,791,516,2,836,382,591,357,758,348,544,560,791,549,,,,,0,1
3,11,00:27:27,49434,49451,3,0,B,2,小平球,1,2,836,382,2,487,508,599,368,775,359,606,568,812,529,,,,,0,1
3,12,00:27:28,49451,49470,3,0,C,2,放小球,0,2,487,508,2,691,407,613,359,788,370,579,541,824,527,,,,,0,1
3,13,00:27:29,49470,49481,3,0,B,2,推球,0,2,691,407,1,857,517,613,351,743,380,602,560,714,513,,,,,0,1
3,14,00:27:29,49481,49490,3,0,D,2,撲球,0,1,857,517,1,831,369,631,352,762,380,604,562,735,521,,,,,0,1
3,15,00:27:29,49490,49511,3,0,B,2,擋小球,1,1,831,369,2,600,478,637,354,791,366,728,567,770,524,,,,,0,1
