rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:14:05,25333,25363,0,1,D,3,發短球,1,2,0,0,2,764,512,824,529,646,535,690,351,658,390,落點判斷失誤,A,對手落點判斷失誤,CD,0,1
2,1,00:14:18,25729,25746,0,2,D,1,發短球,1,2,0,0,1,675,488,730,566,604,537,663,354,700,396,,,,,0,1
2,2,00:14:19,25746,25766,0,2,B,3,小平球,1,1,675,488,2,637,460,716,563,585,520,668,355,692,387,掛網,B,對手掛網,CD,0,1
3,1,00:14:29,26055,26071,0,3,D,1,發短球,1,2,0,0,2,722,465,817,530,656,544,686,355,664,396,,,,,0,1
3,2,00:14:29,26071,26085,0,3,A,2,小平球,0,2,722,465,1,547,392,779,508,663,543,690,347,704,392,,,,,0,1
3,3,00:14:30,26085,26105,0,3,D,2,放小球,0,1,547,392,2,481,493,788,496,644,556,639,352,686,389,,,,,0,1
3,4,00:14:31,26105,26126,0,3,B,2,放小球,0,2,481,493,2,479,425,791,560,557,535,605,350,531,398,,,,,0,1
3,5,00:14:31,26126,26147,0,3,D,2,放小球,0,2,479,425,2,448,471,745,587,555,508,628,349,530,393,,,,,0,1
3,6,00:14:32,26147,26191,0,3,B,3,挑球,0,2,448,471,2,368,361,666,581,557,484,620,349,571,410,出界,B,對手出界,CD,0,1
4,1,00:14:45,26553,26573,1,3,D,1,發短球,1,2,0,0,2,680,494,728,568,596,534,650,350,701,392,,,,,0,1
4,2,00:14:46,26573,26586,1,3,B,2,小平球,1,2,680,494,1,821,406,715,575,591,507,658,352,689,398,,,,,0,1
4,3,00:14:47,26586,26604,1,3,D,2,放小球,1,1,821,406,2,920,528,716,582,628,483,688,354,704,402,,,,,0,1
