rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:06:40,12023,12039,1,0,B,1,發短球,1,2,0,0,1,594,426,622,569,663,504,642,379,558,398,,,,,0,1
1,2,00:06:41,12039,12050,1,0,D,2,小平球,1,1,594,426,1,478,494,609,564,647,505,624,377,555,398,,,,,0,1
1,3,00:06:41,12050,12063,1,0,B,2,小平球,1,1,478,494,1,508,373,555,570,603,503,572,416,620,381,,,,,0,1
1,4,00:06:42,12063,12077,1,0,C,2,平球,1,1,508,373,2,400,553,515,565,525,498,602,374,589,420,,,,,0,1
1,5,00:06:42,12077,12095,1,0,A,2,擋小球,1,2,400,553,1,458,414,523,565,555,493,571,374,649,412,,,,,0,1
1,6,00:06:43,12095,12107,1,0,D,2,撲球,0,1,458,414,2,728,574,519,568,610,521,580,376,559,409,,,,,0,1
1,7,00:06:43,12107,12120,1,0,A,2,擋小球,0,2,728,574,1,592,427,563,577,612,519,598,374,516,417,,,,,0,1
1,8,00:06:44,12120,12135,1,0,D,2,推球,1,1,592,427,2,415,575,674,572,617,517,659,379,549,418,,,,,0,1
1,9,00:06:44,12135,12146,1,0,A,2,防守回挑,1,2,415,575,1,494,407,612,581,628,520,639,383,591,415,,,,,0,1
1,10,00:06:44,12146,12168,1,0,D,2,撲球,0,1,494,407,0,249,595,511,568,632,516,598,379,535,407,,,,,0,1
1,11,00:06:45,12168,12168,1,0,,3,死球,0,0,249,595,2,250,592,417,577,764,560,556,367,473,406,出界,D,對手出界,AB,0,1
2,1,00:07:03,12708,12729,1,1,B,1,發短球,1,2,0,0,1,656,417,663,578,618,507,705,397,597,385,,,,,0,1
2,2,00:07:04,12729,12748,1,1,C,2,小平球,1,1,656,417,2,826,526,660,570,630,506,697,406,594,384,,,,,0,1
2,3,00:07:04,12748,12786,1,1,A,2,挑球,0,2,826,526,1,504,353,741,554,596,500,727,402,575,389,,,,,0,1
2,4,00:07:06,12786,12797,1,1,D,2,殺球,0,1,504,353,2,411,537,687,563,460,549,584,390,529,351,,,,,0,1
2,5,00:07:06,12797,12820,1,1,B,2,防守回挑,1,2,411,537,1,476,356,686,564,444,554,584,388,500,342,,,,,0,1
2,6,00:07:07,12820,12832,1,1,D,2,殺球,0,1,476,356,2,511,525,675,562,440,556,575,386,523,349,,,,,0,1
2,7,00:07:07,12832,12848,1,1,B,2,防守回抽,1,2,511,525,1,479,375,678,562,442,553,582,394,520,357,,,,,0,1
2,8,00:07:08,12848,12872,1,1,D,2,擋小球,0,1,479,375,2,653,499,666,558,430,556,587,390,537,369,,,,,0,1
2,9,00:07:09,12872,12900,1,1,A,2,放小球,1,2,653,499,2,849,417,698,540,461,532,659,393,509,379,,,,,0,1
2,10,00:07:10,12900,12925,1,1,C,2,放小球,0,2,849,417,2,920,474,675,561,599,503,741,404,578,383,,,,,0,1
2,11,00:07:10,12925,12964,1,1,B,2,挑球,0,2,920,474,1,544,351,689,569,812,496,734,404,600,370,,,,,0,1
2,12,00:07:12,12964,12978,1,1,D,2,殺球,0,1,544,351,2,928,556,531,562,819,563,606,390,555,351,,,,,0,1
2,13,00:07:12,12978,13006,1,1,B,2,防守回挑,0,2,928,556,1,793,357,549,567,803,568,625,390,552,353,,,,,0,1
