score_team,win_point_player,roundscore_AB,roundscore_CD,ball_types
AB,D,1,0,小平球
CD,B,1,1,防守回抽
AB,B,2,1,放小球
CD,B,2,2,放小球
CD,B,2,3,平球
AB,C,3,3,殺球
AB,B,4,3,擋小球
CD,C,4,4,小平球
CD,B,4,5,擋小球
AB,B,5,5,勾球
CD,C,5,6,殺球
CD,D,5,7,推撲球
CD,B,5,8,擋小球
CD,C,6,9,擋小球
CD,A,6,10,擋小球
AB,C,7,10,發短球
CD,A,7,11,發長球
AB,D,8,11,擋小球
AB,C,9,11,擋小球
AB,A,10,11,平球
CD,C,10,12,推撲球
CD,A,10,13,擋小球
AB,A,11,13,切球
CD,C,11,14,殺球
CD,C,11,15,殺球
AB,B,12,15,小平球
AB,A,13,15,平球
AB,C,14,15,擋小球
AB,C,15,15,平球
AB,D,16,15,擋小球
AB,D,17,15,殺球
AB,D,18,15,平球
AB,D,19,15,擋小球
AB,A,20,15,殺球
AB,A,21,15,殺球
