score_team,roundscore_AB,roundscore_CD,fault_player,ball_type,score_reason
AB,1,0,C,擋小球,對手掛網
AB,2,0,C,擋小球,對手掛網
AB,3,0,C,擋小球,對手掛網
CD,3,1,B,勾球,落地致勝
CD,3,2,B,擋小球,落地致勝
CD,3,3,B,殺球,落地致勝
CD,3,4,A,平球,對手出界
AB,4,4,C,擋小球,對手未過網
AB,5,4,D,擋小球,對手出界
AB,6,4,D,擋小球,對手掛網
AB,7,4,C,挑球,對手出界
AB,8,4,C,殺球,落地致勝
CD,8,5,B,殺球,落地致勝
CD,8,6,A,挑球,對手出界
AB,9,6,D,擋小球,對手掛網
CD,9,7,A,切球,落地致勝
AB,10,7,C,撲球,落地致勝
CD,10,8,A,放小球,落地致勝
CD,10,9,A,擋小球,對手出界
AB,11,9,C,擋小球,對手未過網
CD,11,10,B,殺球,落地致勝
AB,12,10,C,擋小球,對手未過網
AB,13,10,C,擋小球,對手掛網
AB,14,10,C,殺球,對手出界
AB,15,10,C,切球,對手掛網
AB,16,10,C,撲球,落地致勝
CD,16,11,A,防守回抽,對手未過網
CD,16,12,A,放小球,對手掛網
CD,16,13,B,防守回抽,對手掛網
AB,17,13,C,殺球,落地致勝
CD,17,14,B,殺球,對手出界
AB,18,14,C,撲球,落地致勝
CD,18,15,A,殺球,對手掛網
AB,20,15,C,擋小球,對手掛網
AB,21,15,C,擋小球,對手掛網
