score_team,win_point_player,roundscore_AB,roundscore_CD,ball_types,win_reason,lose_reason
AB,YE HONG WEI,1,0,clear,opponent goes out of bounds,goes out of bounds
AB,GOH SOON HUAT,2,0,long service,wins by landing,opponent wins by landing
CD,LAI SHEVON JEMIE,2,1,driven flight,opponent goes out of bounds,goes out of bounds
CD,LAI SHEVON JEMIE,2,2,net shot,opponent hits the net,hits the net
AB,YE HONG WEI,3,2,smash,opponent hits the net,hits the net
CD,LEE CHIA HSIN,3,3,smash,wins by landing,opponent wins by landing
AB,LEE CHIA HSIN,4,3,short service,opponent hits the net,hits the net
CD,LEE CHIA HSIN,4,4,smash,wins by landing,opponent wins by landing
AB,YE HONG WEI,5,4,net shot,opponent hits the net,hits the net
AB,LEE CHIA HSIN,6,4,net shot,opponent hits the net,hits the net
AB,LEE CHIA HSIN,7,4,unknown,opponent goes out of bounds,goes out of bounds
CD,LAI SHEVON JEMIE,7,5,long service,unknown,unknown
CD,LAI SHEVON JEMIE,7,6,cross-court net shot,opponent goes out of bounds,goes out of bounds
CD,YE HONG WEI,7,7,lob,opponent landing judgment error,landing judgment error
CD,YE HONG WEI,7,8,drive,wins by landing,opponent wins by landing
CD,LEE CHIA HSIN,7,9,lob,opponent landing judgment error,landing judgment error
CD,GOH SOON HUAT,7,10,return net,opponent fails to clear the net,fails to clear the net
CD,YE HONG WEI,7,11,unknown,wins by landing,opponent wins by landing
CD,GOH SOON HUAT,7,12,drive,opponent hits the net,hits the net
CD,GOH SOON HUAT,7,13,drive,opponent hits the net,hits the net
CD,LAI SHEVON JEMIE,7,14,return net,opponent hits the net,hits the net
AB,YE HONG WEI,8,14,drive,opponent hits the net,hits the net
CD,GOH SOON HUAT,8,15,return net,opponent fails to clear the net,fails to clear the net
AB,YE HONG WEI,9,15,drive,opponent goes out of bounds,goes out of bounds
AB,LEE CHIA HSIN,10,15,return net,opponent fails to clear the net,fails to clear the net
CD,LAI SHEVON JEMIE,10,16,short service,opponent goes out of bounds,goes out of bounds
AB,LEE CHIA HSIN,11,16,long service,opponent goes out of bounds,goes out of bounds
CD,GOH SOON HUAT,11,17,return net,opponent fails to clear the net,fails to clear the net
CD,LEE CHIA HSIN,11,18,smash,wins by landing,opponent wins by landing
CD,GOH SOON HUAT,11,19,return net,opponent hits the net,hits the net
AB,YE HONG WEI,12,19,return net,opponent fails to clear the net,fails to clear the net
AB,LEE CHIA HSIN,13,19,driven flight,opponent goes out of bounds,goes out of bounds
AB,LEE CHIA HSIN,14,19,lob,opponent goes out of bounds,goes out of bounds
AB,LEE CHIA HSIN,15,19,net shot,opponent hits the net,hits the net
CD,YE HONG WEI,15,20,smash,wins by landing,opponent wins by landing
CD,LAI SHEVON JEMIE,15,21,return net,opponent goes out of bounds,goes out of bounds
