rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:06:35,11876,11897,1,0,B,1,發短球,1,2,0,0,1,587,408,608,565,663,510,634,359,557,381,,,,,0,1
1,2,00:06:36,11897,11909,1,0,D,2,小平球,1,1,587,408,1,454,498,603,562,635,507,620,361,559,385,,,,,0,1
1,3,00:06:36,11909,11921,1,0,B,2,小平球,1,1,454,498,1,451,410,547,567,574,505,618,363,571,408,,,,,0,1
1,4,00:06:37,11921,11939,1,0,D,2,撲球,0,1,451,410,2,362,572,448,556,501,503,588,357,552,405,,,,,0,1
1,5,00:06:37,11939,11956,1,0,A,2,防守回抽,1,2,362,572,0,419,348,516,580,565,488,547,357,576,407,,,,,0,1
1,6,00:06:38,11956,11971,1,0,C,2,平球,1,1,419,348,2,344,541,488,587,668,520,508,346,565,394,,,,,0,1
1,7,00:06:39,11971,12000,1,0,A,2,擋小球,1,2,344,541,2,379,391,444,567,724,558,487,344,611,384,,,,,0,1
1,8,00:06:40,12000,12026,1,0,C,2,放小球,1,2,379,391,2,347,459,474,571,703,551,462,358,656,386,,,,,0,1
1,9,00:06:40,12026,12048,1,0,B,2,放小球,1,2,347,459,2,368,433,485,577,446,481,500,354,594,397,,,,,0,1
1,10,00:06:41,12048,12075,1,0,D,2,放小球,0,2,368,433,0,412,442,535,568,383,465,560,338,496,417,,,,,0,1
1,11,00:06:42,12075,12075,1,0,,3,死球,0,0,412,442,2,410,438,540,541,411,489,603,351,327,424,掛網,D,對手掛網,AB,0,1
2,1,00:06:58,12541,12557,1,1,B,1,發短球,1,2,0,0,1,717,413,653,568,619,510,703,382,583,368,,,,,0,1
2,2,00:06:58,12557,12570,1,1,C,2,小平球,0,1,717,413,2,592,502,646,568,615,507,700,390,584,366,,,,,0,1
2,3,00:06:59,12570,12611,1,1,B,2,挑球,1,2,592,502,1,771,321,598,579,604,511,693,403,585,363,,,,,0,1
2,4,00:07:00,12611,12624,1,1,D,2,殺球,0,1,771,321,2,536,545,779,574,545,561,657,376,756,322,,,,,0,1
2,5,00:07:00,12624,12652,1,1,B,2,擋小球,1,2,536,545,2,845,421,801,584,523,561,666,363,787,321,,,,,0,1
2,6,00:07:01,12652,12670,1,1,C,2,放小球,0,2,845,421,2,892,456,694,575,630,514,751,386,707,346,,,,,0,1
2,7,00:07:02,12670,12691,1,1,B,2,小平球,0,2,892,456,1,703,359,685,577,779,472,749,398,699,345,,,,,0,1
2,8,00:07:03,12691,12716,1,1,D,2,擋小球,1,1,703,359,2,472,490,659,564,903,457,737,397,668,347,,,,,0,1
2,9,00:07:03,12716,12744,1,1,A,2,放小球,1,2,472,490,2,552,415,521,526,813,493,719,369,599,346,,,,,0,1
2,10,00:07:04,12744,12794,1,1,C,2,挑球,1,2,552,415,1,850,635,546,559,648,506,658,385,505,376,,,,,0,1
2,11,00:07:06,12794,12805,1,1,A,2,殺球,0,1,850,635,2,655,358,822,644,678,545,734,349,577,356,,,,,0,1
