rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:00:14,439,457,1,0,A,1,發短球,1,2,0,0,2,731,491,654,366,641,392,730,562,838,537,,,,,0,1
1,2,00:00:15,457,470,1,0,D,2,小平球,1,2,731,491,1,848,401,693,364,680,393,742,562,839,524,,,,,0,1
1,3,00:00:15,470,488,1,0,B,2,小平球,0,1,848,401,2,686,542,726,358,727,400,759,575,760,494,,,,,0,1
1,4,00:00:16,488,511,1,0,C,2,平球,0,2,686,542,1,518,353,728,358,728,405,798,575,730,486,,,,,0,1
1,5,00:00:17,511,523,1,0,A,2,平球,0,1,518,353,2,860,568,631,347,696,382,729,590,673,503,,,,,0,1
1,6,00:00:17,523,537,1,0,C,2,平球,1,2,860,568,1,617,363,622,347,714,387,739,586,679,510,,,,,0,1
1,7,00:00:17,537,560,1,0,A,2,擋小球,0,1,617,363,2,937,524,671,351,774,383,806,597,668,533,,,,,0,1
1,8,00:00:18,560,583,1,0,C,2,放小球,1,2,937,524,2,940,427,677,347,716,389,895,568,725,528,,,,,0,1
1,9,00:00:19,583,603,1,0,B,2,放小球,0,2,940,427,2,1018,478,774,352,800,396,847,581,698,521,,,,,0,1
1,10,00:00:20,603,615,1,0,D,2,放小球,0,2,1018,478,1,998,436,748,355,848,403,842,579,898,489,,,,,0,1
1,11,00:00:20,615,638,1,0,B,2,放小球,0,1,998,436,2,691,547,754,346,892,409,826,580,903,487,,,,,0,1
1,12,00:00:21,638,663,1,0,C,2,挑球,0,2,691,547,1,546,340,704,354,814,408,808,578,766,500,,,,,0,1
1,13,00:00:22,663,676,1,0,A,2,殺球,0,1,546,340,2,639,554,674,335,717,392,689,593,796,524,,,,,0,1
1,14,00:00:22,676,699,1,0,C,2,防守回抽,0,2,639,554,2,436,359,579,334,678,383,679,600,807,538,,,,,0,1
1,15,00:00:23,699,713,1,0,A,2,平球,0,2,436,359,1,388,557,555,339,702,382,638,575,796,556,,,,,0,1
1,16,00:00:23,713,734,1,0,C,2,擋小球,0,1,388,557,2,423,383,528,336,702,366,578,557,750,544,,,,,0,1
1,17,00:00:24,734,777,1,0,A,2,挑球,0,2,423,383,1,464,680,516,360,762,365,575,568,696,537,,,,,0,1
1,18,00:00:25,777,822,1,0,C,3,長球,0,1,464,680,2,836,303,538,340,760,362,614,681,573,578,出界,C,對手出界,AB,0,1
2,1,00:00:36,1080,1123,2,0,A,3,發長球,1,2,0,0,2,426,634,705,370,620,397,610,529,788,550,對手落地致勝,C,落地致勝,AB,0,1
3,1,00:00:45,1375,1393,2,1,A,1,發短球,1,2,0,0,2,731,494,656,365,646,398,721,572,844,539,,,,,0,1
3,2,00:00:46,1393,1403,2,1,D,2,小平球,1,2,731,494,1,848,412,694,358,664,392,739,566,855,521,,,,,0,1
3,3,00:00:46,1403,1415,2,1,B,2,小平球,0,1,848,412,2,943,480,712,357,724,395,750,570,796,499,,,,,0,1
3,4,00:00:47,1415,1425,2,1,D,2,小平球,0,2,943,480,1,935,393,805,354,766,412,796,583,813,500,,,,,0,1
3,5,00:00:47,1425,1441,2,1,B,3,小平球,0,1,935,393,2,1237,530,769,352,870,395,915,578,844,487,出界,B,對手出界,CD,0,1
4,1,00:00:58,1768,1784,2,2,C,1,發短球,1,2,0,0,2,707,430,664,364,751,388,696,566,666,520,,,,,0,1
4,2,00:00:59,1784,1806,2,2,B,3,放小球,1,2,707,430,2,772,442,672,369,770,404,742,560,675,507,掛網,B,對手掛網,CD,0,1
5,1,00:01:07,2034,2050,3,2,C,1,發短球,1,2,0,0,2,674,417,584,387,716,374,740,563,644,514,,,,,0,1
5,2,00:01:08,2050,2065,3,2,A,2,推撲球,1,2,674,417,1,968,568,606,395,712,385,730,574,668,501,,,,,0,1
5,3,00:01:08,2065,2087,3,2,C,2,擋小球,1,1,968,568,2,887,407,593,395,742,374,777,581,696,500,,,,,0,1
5,4,00:01:09,2087,2136,3,2,B,2,挑球,0,2,887,407,1,536,678,647,372,830,388,845,604,789,512,,,,,0,1
5,5,00:01:11,2136,2157,3,2,C,3,殺球,0,1,536,678,2,616,460,571,357,781,358,527,681,641,568,掛網,C,對手掛網,AB,0,1
6,1,00:01:30,2698,2715,3,3,B,1,發短球,1,2,0,0,2,659,496,670,361,700,394,721,567,574,535,,,,,0,1
6,2,00:01:30,2715,2732,3,3,D,2,小平球,0,2,659,496,2,514,378,662,348,688,396,722,568,569,525,,,,,0,1
6,3,00:01:31,2732,2743,3,3,A,2,平球,0,2,514,378,1,525,494,590,363,646,382,695,569,564,496,,,,,0,1
6,4,00:01:31,2743,2759,3,3,D,3,殺球,0,1,525,494,2,452,381,590,358,663,400,712,578,546,497,對手落地致勝,A,落地致勝,CD,0,1
7,1,00:01:41,3056,3087,4,3,D,3,發短球,1,2,0,0,2,722,460,664,368,749,376,761,579,689,531,掛網,D,對手掛網,AB,0,1
8,1,00:01:52,3380,3398,4,4,A,1,發短球,1,2,0,0,2,733,478,658,362,658,407,873,530,636,550,,,,,0,1
8,2,00:01:53,3398,3415,4,4,C,2,小平球,0,2,733,478,2,678,367,701,356,674,398,844,506,628,548,,,,,0,1
8,3,00:01:53,3415,3457,4,4,A,2,挑球,1,2,678,367,1,505,656,686,361,714,400,830,514,586,523,,,,,0,1
8,4,00:01:55,3457,3505,4,4,C,2,長球,0,1,505,656,1,817,329,586,354,763,361,639,646,650,535,,,,,0,1
8,5,00:01:56,3505,3519,4,4,B,2,殺球,0,1,817,329,2,712,544,720,376,772,320,663,585,952,598,,,,,0,1
8,6,00:01:57,3519,3537,4,4,C,2,防守回抽,1,2,712,544,2,842,334,710,374,775,320,664,577,970,613,,,,,0,1
8,7,00:01:58,3537,3562,4,4,B,2,挑球,0,2,842,334,1,655,570,625,364,770,330,660,566,896,568,,,,,0,1
8,8,00:01:58,3562,3571,4,4,C,2,殺球,0,1,655,570,2,758,344,604,355,770,337,730,588,778,531,,,,,0,1
8,9,00:01:59,3571,3587,4,4,B,2,防守回抽,1,2,758,344,1,880,489,613,349,772,334,698,573,752,524,,,,,0,1
8,10,00:01:59,3587,3597,4,4,D,2,推撲球,0,1,880,489,2,869,335,611,347,801,334,728,572,841,514,,,,,0,1
8,11,00:02:00,3597,3617,4,4,B,2,擋小球,0,2,869,335,2,494,492,629,361,794,342,737,577,820,511,,,,,0,1
8,12,00:02:00,3617,3635,4,4,D,2,放小球,1,2,494,492,2,612,398,591,356,776,345,663,566,680,498,,,,,0,1
8,13,00:02:01,3635,3651,4,4,A,2,推撲球,1,2,612,398,1,494,583,600,378,734,368,697,586,583,496,,,,,0,1
8,14,00:02:01,3651,3662,4,4,C,2,殺球,0,1,494,583,1,614,370,576,373,732,364,688,587,578,498,,,,,0,1
8,15,00:02:02,3662,3676,4,4,A,2,防守回挑,1,1,614,370,1,705,507,577,362,741,357,580,595,560,520,,,,,0,1
8,16,00:02:02,3676,3690,4,4,D,3,殺球,0,1,705,507,2,772,358,595,344,743,357,658,604,661,519,對手落地致勝,A,落地致勝,CD,0,1
9,1,00:02:14,4025,4039,5,4,C,1,發短球,1,2,0,0,1,671,420,592,381,723,374,737,557,634,514,,,,,0,1
9,2,00:02:14,4039,4050,5,4,A,2,小平球,1,1,671,420,1,749,567,600,397,711,371,747,571,634,512,,,,,0,1
9,3,00:02:15,4050,4062,5,4,C,2,平球,1,1,749,567,1,722,372,595,392,722,368,747,585,653,518,,,,,0,1
9,4,00:02:15,4062,4082,5,4,B,2,平球,0,1,722,372,2,961,544,597,389,740,366,723,608,640,512,,,,,0,1
9,5,00:02:16,4082,4119,5,4,C,2,挑球,1,2,961,544,1,800,332,632,364,768,364,860,599,634,525,,,,,0,1
9,6,00:02:17,4119,4131,5,4,B,2,殺球,0,1,800,332,2,987,542,714,369,783,322,914,594,593,571,,,,,0,1
