rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:53:51,96955,96972,1,0,B,1,發短球,1,2,0,0,2,572,426,616,562,666,510,639,377,560,401,,,,,0,1
1,2,00:53:52,96972,96984,1,0,D,2,小平球,1,2,572,426,1,469,538,592,569,624,509,629,386,569,408,,,,,0,1
1,3,00:53:52,96984,96992,1,0,A,2,平球,1,1,469,538,1,491,412,532,564,577,500,616,390,562,421,,,,,0,1
1,4,00:53:53,96992,97012,1,0,D,2,擋小球,0,1,491,412,2,427,527,453,552,574,496,618,388,529,419,,,,,0,1
1,5,00:53:53,97012,97031,1,0,A,2,挑球,1,2,427,527,1,455,376,472,564,642,510,626,380,480,407,,,,,0,1
1,6,00:53:54,97031,97044,1,0,D,2,殺球,0,1,455,376,2,741,534,479,563,724,537,623,378,449,386,,,,,0,1
1,7,00:53:54,97044,97068,1,0,B,2,擋小球,1,2,741,534,2,793,411,515,565,765,553,637,384,441,379,,,,,0,1
1,8,00:53:55,97068,97085,1,0,C,2,推球,0,2,793,411,1,946,599,589,561,740,514,683,404,538,385,,,,,0,1
1,9,00:53:56,97085,97116,1,0,A,2,長球,0,1,946,599,1,569,353,730,566,648,513,710,405,593,381,,,,,0,1
1,10,00:53:57,97116,97128,1,0,D,2,殺球,0,1,569,353,2,473,537,893,554,498,557,685,379,595,355,,,,,0,1
1,11,00:53:57,97128,97141,1,0,B,2,防守回抽,1,2,473,537,1,479,391,785,564,490,557,618,386,591,348,,,,,0,1
1,12,00:53:58,97141,97152,1,0,C,2,平球,1,1,479,391,1,470,531,676,566,479,556,570,386,626,352,,,,,0,1
1,13,00:53:58,97152,97174,1,0,B,2,擋小球,1,1,470,531,2,805,398,661,573,438,559,496,390,655,361,,,,,0,1
1,14,00:53:59,97174,97206,1,0,D,2,挑球,1,2,805,398,1,379,603,656,566,505,529,523,388,738,386,,,,,0,1
1,15,00:54:00,97206,97219,1,0,A,2,殺球,0,1,379,603,2,786,385,432,601,619,521,526,374,731,375,,,,,0,1
1,16,00:54:00,97219,97229,1,0,D,2,擋小球,1,2,786,385,0,864,367,294,624,587,535,541,369,721,373,,,,,0,1
1,17,00:54:00,97229,97229,1,0,,3,死球,0,0,864,367,2,864,366,298,623,614,546,564,367,725,374,未過網,D,對手未過網,AB,0,1
2,1,00:54:32,98174,98206,1,1,B,1,發長球,1,2,0,0,1,705,370,662,571,617,511,702,398,592,393,,,,,0,1
2,2,00:54:33,98206,98276,1,1,,3,死球,0,1,705,370,2,212,614,690,575,527,536,707,386,590,385,犯規,B,對手犯規,CD,0,1
3,1,00:54:54,98828,98851,1,2,C,1,發短球,1,2,0,0,2,598,487,643,559,520,517,650,382,653,411,,,,,0,1
3,2,00:54:55,98851,98865,1,2,B,2,放小球,0,2,598,487,1,549,403,610,560,524,504,624,381,620,413,,,,,0,1
3,3,00:54:55,98865,98884,1,2,D,2,小平球,0,1,549,403,2,551,535,620,559,579,489,618,385,608,411,,,,,0,1
3,4,00:54:56,98884,98923,1,2,A,2,挑球,1,2,551,535,1,511,350,578,555,644,478,620,375,625,408,,,,,0,1
3,5,00:54:57,98923,98933,1,2,C,2,殺球,0,1,511,350,2,427,554,478,572,780,573,514,353,604,389,,,,,0,1
3,6,00:54:57,98933,98947,1,2,A,2,防守回抽,1,2,427,554,1,541,390,497,577,801,586,503,353,539,381,,,,,0,1
3,7,00:54:58,98947,98957,1,2,D,2,撲球,0,1,541,390,2,731,560,482,577,782,580,515,355,580,391,,,,,0,1
3,8,00:54:58,98957,98971,1,2,B,2,防守回抽,1,2,731,560,1,721,391,495,570,786,576,557,361,572,393,,,,,0,1
3,9,00:54:59,98971,98987,1,2,D,2,擋小球,0,1,721,391,2,872,527,511,570,777,573,630,373,659,399,,,,,0,1
3,10,00:54:59,98987,99005,1,2,B,2,推球,0,2,872,527,1,815,376,579,559,773,557,664,378,703,403,,,,,0,1
3,11,00:55:00,99005,99030,1,2,C,2,長球,0,1,815,376,1,944,630,574,555,786,555,705,379,639,404,,,,,0,1
3,12,00:55:01,99030,99076,1,2,B,2,長球,0,1,944,630,1,581,356,659,566,878,575,727,386,617,392,,,,,0,1
3,13,00:55:02,99076,99094,1,2,C,2,切球,0,1,581,356,2,633,530,499,578,817,583,575,358,650,394,,,,,0,1
3,14,00:55:03,99094,99129,1,2,A,2,擋小球,0,2,633,530,0,442,454,558,565,763,560,570,356,607,400,,,,,0,1
3,15,00:55:04,99129,99129,1,2,,3,死球,0,0,442,454,2,442,457,561,570,760,564,597,374,496,410,掛網,A,對手掛網,CD,0,1
4,1,00:55:22,99664,99709,1,3,C,1,,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,1,1
4,2,00:55:23,99709,99724,1,3,A,2,殺球,0,1,0,0,2,581,390,798,571,674,576,651,377,606,401,,,,,0,1
4,3,00:55:24,99724,99755,1,3,D,2,擋小球,1,2,581,390,0,380,499,838,597,693,588,650,376,561,390,,,,,0,1
4,4,00:55:25,99755,99755,1,3,,3,死球,0,0,380,499,2,379,497,705,606,491,537,597,364,563,400,對手落地致勝,B,落地致勝,CD,0,1
5,1,00:56:06,101001,101019,2,3,C,1,發短球,1,2,0,0,2,612,497,637,554,521,521,652,387,661,416,,,,,0,1
5,2,00:56:07,101019,101032,2,3,B,2,小平球,0,2,612,497,1,508,381,631,559,526,511,614,380,644,413,,,,,0,1
