score_team,win_point_player,roundscore_AB,roundscore_CD,ball_types
CD,D,0,1,發短球
CD,B,0,2,小平球
CD,B,0,3,挑球
AB,D,1,3,擋小球
AB,A,2,3,平球
AB,B,3,3,小平球
AB,D,4,3,小平球
CD,C,4,4,推撲球
AB,B,5,4,殺球
CD,B,5,5,放小球
AB,A,6,5,殺球
AB,D,7,5,放小球
CD,B,7,6,防守回抽
CD,B,7,7,小平球
AB,D,8,7,擋小球
AB,D,9,7,推撲球
CD,A,9,8,擋小球
AB,D,10,8,發短球
AB,C,11,8,平球
CD,D,11,9,推撲球
AB,C,12,9,發長球
CD,A,12,10,發短球
CD,C,12,11,平球
CD,C,12,12,殺球
AB,A,13,12,推撲球
CD,B,13,13,發短球
AB,D,14,13,放小球
CD,C,14,14,殺球
AB,D,15,14,擋小球
AB,C,16,14,推撲球
CD,C,16,15,推撲球
AB,C,17,15,擋小球
AB,B,18,15,放小球
CD,C,18,16,平球
CD,C,18,17,殺球
CD,C,18,18,擋小球
CD,D,18,19,平球
AB,C,19,19,平球
CD,A,19,20,平球
AB,B,20,20,小平球
AB,D,21,20,小平球
AB,C,22,20,擋小球
