win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
B,對手掛網,擋小球,掛網,0,1
B,對手未過網,放小球,未過網,0,2
A,對手出界,挑球,出界,1,2
A,對手落點判斷失誤,挑球,落點判斷失誤,2,2
A,對手掛網,放小球,掛網,3,2
A,對手未過網,擋小球,未過網,4,2
A,對手掛網,殺球,掛網,5,2
A,對手出界,推球,出界,6,2
A,對手掛網,放小球,掛網,7,2
A,落地致勝,殺球,對手落地致勝,8,2
B,對手出界,挑球,出界,8,3
A,對手出界,挑球,出界,9,3
A,對手出界,推球,出界,10,3
B,落地致勝,殺球,對手落地致勝,10,4
B,落地致勝,放小球,對手落地致勝,10,5
B,對手出界,挑球,出界,10,6
B,對手掛網,擋小球,掛網,10,7
A,對手掛網,挑球,掛網,11,7
B,對手掛網,撲球,掛網,11,8
B,落地致勝,撲球,對手落地致勝,11,9
A,對手落點判斷失誤,挑球,落點判斷失誤,12,9
B,對手掛網,殺球,掛網,12,10
A,對手出界,平球,出界,13,10
B,落地致勝,推球,對手落地致勝,13,11
A,對手掛網,切球,掛網,14,11
B,對手掛網,擋小球,掛網,14,12
A,對手出界,過度切球,出界,15,12
A,對手出界,挑球,出界,16,12
B,對手掛網,發短球,掛網,16,13
A,對手出界,切球,出界,17,13
A,落地致勝,點扣,對手落地致勝,18,13
B,對手落點判斷失誤,長球,落點判斷失誤,18,14
A,落地致勝,點扣,對手落地致勝,19,14
B,對手掛網,擋小球,掛網,19,15
A,對手出界,切球,出界,20,15
A,對手落點判斷失誤,擋小球,落點判斷失誤,21,15
