win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
A,對手掛網,擋小球,掛網,1,0
A,對手出界,後場抽平球,出界,2,0
B,對手出界,長球,出界,2,1
B,對手出界,挑球,出界,2,2
B,對手掛網,擋小球,掛網,2,3
A,對手掛網,擋小球,掛網,3,3
A,落地致勝,挑球,對手落地致勝,4,3
B,對手出界,推球,出界,4,4
A,對手出界,殺球,出界,5,4
B,對手出界,擋小球,出界,5,5
B,落地致勝,殺球,對手落地致勝,5,6
A,對手掛網,切球,掛網,6,6
B,落地致勝,殺球,對手落地致勝,6,7
A,,未知球種,,7,7
B,落地致勝,挑球,對手落地致勝,7,8
B,對手出界,挑球,出界,7,9
A,落地致勝,殺球,對手落地致勝,8,9
B,對手出界,殺球,出界,8,10
A,落地致勝,殺球,對手落地致勝,9,10
A,落地致勝,殺球,對手落地致勝,10,10
B,對手出界,挑球,出界,10,11
A,對手掛網,切球,掛網,11,11
A,對手未過網,擋小球,未過網,12,11
B,落地致勝,撲球,對手落地致勝,12,12
A,對手出界,過度切球,出界,13,12
A,落地致勝,平球,對手落地致勝,14,12
B,落地致勝,殺球,對手落地致勝,14,13
B,落地致勝,勾球,對手落地致勝,14,14
B,對手未過網,勾球,未過網,14,15
B,對手出界,挑球,出界,14,16
B,落地致勝,切球,對手落地致勝,14,17
A,對手未過網,放小球,未過網,15,17
A,對手掛網,擋小球,掛網,16,17
A,落地致勝,點扣,對手落地致勝,17,17
B,對手出界,長球,出界,17,18
B,落地致勝,長球,對手落地致勝,17,19
A,落地致勝,推球,對手落地致勝,18,19
A,落地致勝,平球,對手落地致勝,19,19
A,對手掛網,放小球,掛網,20,19
A,,未知球種,,21,19
