,win_point_player,win_reason,ball_types,lose_reason,roundscore_A,roundscore_B
0,B,wins by landing,push,opponent wins by landing,0,1
1,A,opponent hits the net,cross-court net shot,hits the net,1,1
2,A,opponent goes out of bounds,clear,goes out of bounds,2,1
3,A,opponent fails to clear the net,return net,fails to clear the net,3,1
4,A,opponent goes out of bounds,lob,goes out of bounds,4,1
5,A,opponent goes out of bounds,clear,goes out of bounds,6,1
6,B,opponent hits the net,net shot,hits the net,6,2
7,B,opponent hits the net,cross-court net shot,hits the net,6,3
8,A,opponent fails to clear the net,return net,fails to clear the net,7,3
9,A,wins by landing,smash,opponent wins by landing,8,3
10,B,wins by landing,rush,opponent wins by landing,8,4
11,A,opponent goes out of bounds,push,goes out of bounds,9,4
12,B,opponent goes out of bounds,push,goes out of bounds,9,5
13,B,wins by landing,rush,opponent wins by landing,9,6
14,B,wins by landing,cross-court net shot,opponent wins by landing,9,7
15,A,opponent hits the net,net shot,hits the net,10,7
16,B,wins by landing,push,opponent wins by landing,10,8
17,B,opponent goes out of bounds,lob,goes out of bounds,10,9
18,A,opponent goes out of bounds,lob,goes out of bounds,11,9
19,B,opponent goes out of bounds,clear,goes out of bounds,11,10
20,B,unknown,unknown,unknown,11,11
21,A,opponent landing judgment error,push,landing judgment error,12,11
22,B,wins by landing,rush,opponent wins by landing,12,12
23,A,wins by landing,smash,opponent wins by landing,13,12
24,A,opponent goes out of bounds,lob,goes out of bounds,14,12
25,A,opponent hits the net,cross-court net shot,hits the net,15,12
26,A,wins by landing,smash,opponent wins by landing,16,12
27,B,wins by landing,rush,opponent wins by landing,16,13
28,A,opponent fails to clear the net,return net,fails to clear the net,17,13
29,B,opponent landing judgment error,push,landing judgment error,17,14
30,A,wins by landing,smash,opponent wins by landing,18,14
31,A,opponent hits the net,smash,hits the net,19,14
32,A,wins by landing,smash,opponent wins by landing,20,14
33,A,wins by landing,smash,opponent wins by landing,21,14
